Date,Forecast,Lower_Bound,Upper_Bound
2013-01-01,17.34814337011865,-0.550496429228319,36.24502850491655
2013-01-02,18.336505393474056,0.47913474298918485,37.86819365179481
2013-01-03,22.7970795527176,5.470923880866649,41.3580645726503
2013-01-04,27.276646200491715,7.7698641492122515,45.90465995391392
2013-01-05,25.065433405195453,8.093766345000764,43.36188670514176
2013-01-06,20.96331141191422,2.2061251056653215,38.72431008009268
2013-01-07,18.830500468559848,-0.6185253419899118,36.75406711402129
2013-01-08,18.759295615932366,1.953579435342645,36.3654333235663
2013-01-09,20.061162679644028,-0.06062999423634994,38.228704383975874
2013-01-10,24.77317775558362,6.9871227711067,42.399937302295086
2013-01-11,29.438778860246874,10.438305218961759,48.816089325909466
2013-01-12,27.346689323103305,9.566228264541753,45.3120793209634
2013-01-13,23.29709173124393,5.061393085054358,41.63201240827879
2013-01-14,21.152264644723438,2.0088871010816782,38.29823035780436
2013-01-15,21.00818919922107,3.088993537329191,38.94824824536747
2013-01-16,22.1814842167877,2.3428465499549045,40.33545474506791
2013-01-17,26.715647811013625,9.040991409561727,45.358083147849655
2013-01-18,31.16158078024311,12.056197014059867,50.24385863079849
2013-01-19,28.816258763564548,11.69489381938897,47.211166993994084
2013-01-20,24.488639714227205,6.8111074059319945,43.1482844918128
2013-01-21,22.050027360903286,3.5883826846034617,40.33759115678606
2013-01-22,21.605405686959273,3.7004977140591024,39.736083333729546
2013-01-23,22.48011117972504,4.609148547649797,40.11513191062071
2013-01-24,26.725828373694743,7.9331374062552715,44.745786614346976
2013-01-25,30.900890844330952,12.897828762766824,49.92290309286918
2013-01-26,28.30876070251809,10.563717789178785,48.02846470699843
2013-01-27,23.763778158940532,5.05357779766685,42.163468648280954
2013-01-28,21.141405713696727,3.098576360085028,39.562822461617564
2013-01-29,20.549484640783533,2.370794951398912,39.2374899109597
2013-01-30,21.314871860236693,3.1346265699139293,39.947786792277626
2013-01-31,25.489442725241453,7.002775657873543,45.01433193894027
2013-02-01,29.63044063422989,10.855424508139862,48.33165329065541
2013-02-02,27.039043974425425,6.418834970856068,46.39894002668054
2013-02-03,22.526238321104543,5.004417024480769,41.39152836176104
2013-02-04,19.963213798834342,1.7272411743371747,37.70214511976847
2013-02-05,19.452799747796885,1.4338739842411465,36.40429571858751
2013-02-06,20.316298617200495,2.0134946051630433,37.36284487522104
2013-02-07,24.599697966577747,6.690829644333428,43.69472948588297
2013-02-08,28.854234584492715,10.887325394357703,47.18788827636535
2013-02-09,26.375174290860183,8.111298801375609,43.71133286370962
2013-02-10,21.96788859242676,2.474989825554269,40.209902225115876
2013-02-11,19.49844170322251,1.4045135759853564,39.286694284827114
2013-02-12,19.065194284641706,-0.28597267331575804,37.28980937984896
2013-02-13,19.98578076163768,0.9222718441944988,38.965707443246195
2013-02-14,24.30343494316892,7.1557039529370625,42.31242149183215
2013-02-15,28.567634790426812,10.570478272644186,46.54455286047092
2013-02-16,26.072927860452538,8.697974775034744,45.356330363728375
2013-02-17,21.62501767901074,3.2378533200092683,39.484215443556764
2013-02-18,19.09132480701916,1.1317230396161406,37.809173572234485
2013-02-19,18.5725303433292,-1.0207454084952967,36.13162443983812
2013-02-20,19.389461188461713,2.020751294280671,36.1188241356559
2013-02-21,23.5892952441369,5.102767655866099,41.04138917224066
2013-02-22,27.726061729155308,10.617263082015272,46.32481117662533
2013-02-23,25.09930316424491,6.6887108809814855,43.45825981237698
2013-02-24,20.519984887912592,1.7927302290728895,37.31311401522188
2013-02-25,17.860871816739937,0.16454185067934338,34.02191560647631
2013-02-26,17.227886344513326,-1.184729653509149,34.79173589883176
2013-02-27,17.946812815630402,1.433984686240026,35.95300079380964
2013-02-28,22.069332650522284,4.338126226527755,40.92647418844737
2013-03-01,26.153370802478026,8.081180626764318,43.93019975590576
2013-03-02,23.50162502487889,5.426964939999006,41.28003242713254
2013-03-03,18.927368002566567,1.857189359600676,38.70541366252349
2013-03-04,16.30474541700974,-1.8616363843926023,34.70073124288832
2013-03-05,15.740086214980384,-3.485325579668776,34.29326468211727
2013-03-06,16.55859188581723,-0.8523916095563938,34.67889177138802
2013-03-07,20.810389129532467,4.027259518148781,39.63046500496719
2013-03-08,25.05092582825831,7.194972929526891,43.29933326436713
2013-03-09,22.57958001351824,3.9484899109205753,40.61192565360744
2013-03-10,18.205569118959463,1.3345707873942279,36.9161620500297
2013-03-11,15.798378953617785,-1.653984665557508,34.00699412750218
2013-03-12,15.459224277519384,-3.9401031659632557,32.811022641746334
2013-03-13,16.50790279021315,-2.3817162097089954,34.4282156062821
2013-03-14,20.98902147141267,2.7589770215250145,38.27092592779175
2013-03-15,25.452569485851484,7.085602223179107,44.306907224942414
2013-03-16,23.19270154905213,5.59834223680898,40.78478540839976
2013-03-17,19.013813360705107,-0.6788905444621477,37.54957777155519
2013-03-18,16.78112314224964,-1.9507289874267573,35.07702016749014
2013-03-19,16.592266220031412,-1.52435242866908,34.42893392426302
2013-03-20,17.76426014281768,-0.6906093888423388,36.65197366309893
2013-03-21,22.339815705098125,4.108841578538728,40.54608611108109
2013-03-22,26.867965388424064,9.963611151788475,45.56829156457167
2013-03-23,24.642871370523785,5.574540457924609,41.87456035928599
2013-03-24,20.469893969725668,1.3042432927305887,38.7545754845765
2013-03-25,18.216134850669903,-1.366160057036657,37.28197660431271
2013-03-26,17.981963242688636,-0.17175483719817242,36.36927472426286
2013-03-27,19.087884945393775,-0.061072870563822115,37.87817969025655
2013-03-28,23.58073267231174,5.91950060073232,40.347218322864535
2013-03-29,28.01415324273147,10.035679973406683,45.899464527722614
2013-03-30,25.68725841119314,7.564419897334703,42.18651490041962
2013-03-31,21.410525381599673,1.1797077399202207,39.26232148150604
2013-04-01,19.056166855553705,1.9447559692203256,38.64131819610857
2013-04-02,18.729484565214264,-1.0242288743042014,38.05993308898167
2013-04-03,19.755571752999664,1.1242532841686748,39.14353453843037
2013-04-04,24.18534865127382,5.581655850350039,42.45932145870198
2013-04-05,28.5759115820525,10.780221872049438,46.82016319682158
2013-04-06,26.229067060470793,8.84920013372973,43.421585713766625
2013-04-07,21.95714086605112,3.744953704033941,40.352546309005426
2013-04-08,19.633284963659072,1.8422631305685242,37.41569383306262
2013-04-09,19.362798441257635,0.6132595339217476,38.18782356562206
2013-04-10,20.469829075460602,1.4088984051939826,37.78348887016916
2013-04-11,25.003439725315236,5.526479056157565,42.56760915644225
2013-04-12,29.51801927573238,11.045214670639252,47.51403310512323
2013-04-13,27.31190760412053,9.22526982779414,45.84886518550999
2013-04-14,23.193321633805866,4.327510772887592,41.24153417875989
2013-04-15,21.03080166163995,3.4694717456828754,40.542778884949215
2013-04-16,20.92468957443591,2.3548277804520166,39.460665512329086
2013-04-17,22.194000474705156,4.29193237063485,39.62302963183016
2013-04-18,26.882666344616254,8.08953606494226,44.83343125787284
2013-04-19,31.540125623771946,13.04476114080372,50.23540676397519
2013-04-20,29.460122241541587,12.781298417818563,48.05137382714065
2013-04-21,25.446795334721628,7.628427340825737,44.43366288145844
2013-04-22,23.365273295421506,4.090010630144022,42.1493076352068
2013-04-23,23.31327869110731,4.235317689453147,42.73571102107783
2013-04-24,24.608101143717175,7.153099477165796,43.588467660054796
2013-04-25,29.292913146030312,11.135347962550622,46.61423884219122
2013-04-26,33.91739995349655,14.885245762176464,52.07606152364848
2013-04-27,31.776565358641783,12.37277189259822,50.58132739523841
2013-04-28,27.676793917805615,9.590757839569676,46.29103951087221
2013-04-29,25.486383717940143,6.959917347522065,43.494343887605176
2013-04-30,25.307057768324793,7.080502976660891,42.76166560322049
2013-05-01,26.460813711121098,9.283932832891786,44.186658040020404
2013-05-02,30.99609042770623,13.461879288026477,50.4265811918301
2013-05-03,35.46822716639576,15.933181020023994,54.18546591948123
2013-05-04,33.17808224247682,15.232719564615936,51.46043285069917
2013-05-05,28.937897723075963,10.721722822826697,47.11287390884039
2013-05-06,26.621630447531757,7.835178123570028,45.64932480231725
2013-05-07,26.336263961194668,6.2396485273556594,44.8132948330394
2013-05-08,27.408467568772988,10.00478532906915,46.93091486385468
2013-05-09,31.890587431366402,14.206810409762012,51.99045895625733
2013-05-10,36.34095127992208,17.931395059873516,55.77713216115848
2013-05-11,34.06235918328578,15.844108904740528,51.80347828293731
2013-05-12,29.86785141517959,12.014052638362868,47.598203480864626
2013-05-13,27.63097749726802,9.269621843257012,47.05407476181639
2013-05-14,27.457083687225012,8.956742720305996,45.18587541864223
2013-05-15,28.66998668098321,8.902126712711604,47.65947506939063
2013-05-16,33.31801880391214,14.5840789434254,52.73889875157593
2013-05-17,37.954425406279825,20.293541240577028,55.818251708613595
2013-05-18,35.87598480909036,16.755356663008413,54.927056486972376
2013-05-19,31.888938600776076,13.96293640720056,50.15148480776828
